Time,Protocol,Length,Source,Destination,bad_packet
386.728939126,0,42,2,1,1
386.739292911,0,42,2,1,1
386.749750501,0,42,2,1,1
386.754050254,0,42,2,1,1
386.754072336,0,42,2,1,1
386.754083799,0,42,2,1,1
386.760044842,0,42,2,1,1
386.770596135,0,42,2,1,1
386.780871521,0,42,2,1,1
386.786180481,0,42,2,1,1
386.786204671,0,42,2,1,1
386.786211086,0,42,2,1,1
386.786215039,0,42,2,1,1
386.791541888,0,42,2,1,1
386.801888581,0,42,2,1,1
386.812609873,0,42,2,1,1
386.818076004,0,42,2,1,1
386.822043277,0,42,2,1,1
386.822054976,0,42,2,1,1
386.823273243,0,42,2,1,1
386.833680762,0,42,2,1,1
386.844723362,0,42,2,1,1
386.850039386,0,42,2,1,1
386.854050316,0,42,2,1,1
386.855362569,0,42,2,1,1
386.866422355,0,42,2,1,1
386.877001527,0,42,2,1,1
386.882045925,0,42,2,1,1
386.882071568,0,42,2,1,1
386.882079329,0,42,2,1,1
386.882090641,0,42,2,1,1
386.887423292,0,42,2,1,1
386.897840767,0,42,2,1,1
386.908154277,0,42,2,1,1
386.914048875,0,42,2,1,1
386.91407529,0,42,2,1,1
386.914090133,0,42,2,1,1
386.920024247,0,42,2,1,1
386.930399094,0,42,2,1,1
386.933225574,0,60,2,4,0
386.933388668,0,60,2,0,0
386.940623208,0,42,2,1,1
386.946033122,0,42,2,1,1
386.946060455,0,42,2,1,1
386.946074727,0,42,2,1,1
386.950953538,0,42,2,1,1
386.961295599,0,42,2,1,1
386.971771659,0,42,2,1,1
386.978033364,0,42,2,1,1
386.978062226,0,42,2,1,1
386.978073614,0,42,2,1,1
386.982131812,0,42,2,1,1
386.992621653,0,42,2,1,1
387.002967626,0,42,2,1,1
387.01328562,0,42,2,1,1
387.014031219,0,42,2,1,1
387.014047826,0,42,2,1,1
387.014072433,0,42,2,1,1
387.02354151,0,42,2,1,1
387.033896878,0,42,2,1,1
387.042033137,0,42,2,1,1
387.042061836,0,42,2,1,1
387.044430918,0,42,2,1,1
387.046035141,0,42,2,1,1
387.054758228,0,42,2,1,1
387.065092036,0,42,2,1,1
387.074028194,0,42,2,1,1
387.075349908,0,42,2,1,1
387.078029558,0,42,2,1,1
387.078061231,0,42,2,1,1
387.085636945,0,42,2,1,1
387.096031671,0,42,2,1,1
387.106032407,0,42,2,1,1
387.106054983,0,42,2,1,1
387.106398792,0,42,2,1,1
387.110046231,0,42,2,1,1
387.116701965,0,42,2,1,1
387.127097414,0,42,2,1,1
387.137520011,0,42,2,1,1
387.138028169,0,42,2,1,1
387.138041041,0,42,2,1,1
387.138055,0,42,2,1,1
387.147858863,0,42,2,1,1
387.158230114,0,42,2,1,1
387.170090761,0,42,2,1,1
387.170177657,0,42,2,1,1
387.170230289,0,42,2,1,1
387.170537379,0,42,2,1,1
387.180862088,0,42,2,1,1
387.19120652,0,42,2,1,1
387.201580352,0,42,2,1,1
387.202031812,0,42,2,1,1
387.202042955,0,42,2,1,1
387.202076774,0,42,2,1,1
387.211957413,0,42,2,1,1
387.222245299,0,42,2,1,1
387.232589749,0,42,2,1,1
387.234029413,0,42,2,1,1
387.234051198,0,42,2,1,1
387.234062968,0,42,2,1,1
387.24292831,0,42,2,1,1
387.253297992,0,42,2,1,1
387.263657016,0,42,2,1,1
387.266054014,0,42,2,1,1
387.266066658,0,42,2,1,1
387.266073553,0,42,2,1,1
387.273984711,0,42,2,1,1
387.284472704,0,42,2,1,1
387.294884303,0,42,2,1,1
387.298038638,0,42,2,1,1
387.298062942,0,42,2,1,1
387.298070119,0,42,2,1,1
387.305247469,0,42,2,1,1
387.315684989,0,42,2,1,1
387.325960881,0,42,2,1,1
387.330033045,0,42,2,1,1
387.330070452,0,42,2,1,1
387.330080217,0,42,2,1,1
387.336712293,0,42,2,1,1
387.347059129,0,42,2,1,1
387.357422144,0,42,2,1,1
387.3620648,0,42,2,1,1
387.362132995,0,42,2,1,1
387.362179626,0,42,2,1,1
387.362274941,0,42,2,1,1
387.367770846,0,42,2,1,1
387.378240696,0,42,2,1,1
387.388595895,0,42,2,1,1
387.394032268,0,42,2,1,1
387.39405535,0,42,2,1,1
387.39406875,0,42,2,1,1
387.398915359,0,42,2,1,1
387.409234645,0,42,2,1,1
387.419565697,0,42,2,1,1
387.426061825,0,42,2,1,1
387.426112622,0,42,2,1,1
387.426121667,0,42,2,1,1
387.429982985,0,42,2,1,1
387.440600485,0,42,2,1,1
387.451166789,0,42,2,1,1
387.458055209,0,42,2,1,1
387.458083204,0,42,2,1,1
387.45809583,0,42,2,1,1
387.461508234,0,42,2,1,1
387.472214662,0,42,2,1,1
387.482401423,0,42,2,1,1
387.490133033,0,42,2,1,1
387.490165628,0,42,2,1,1
387.490197435,0,42,2,1,1
387.49311541,0,42,2,1,1
387.503456086,0,42,2,1,1
387.513899258,0,42,2,1,1
387.522104372,0,42,2,1,1
387.522135366,0,42,2,1,1
387.522147062,0,42,2,1,1
387.524227577,0,42,2,1,1
387.534836085,0,42,2,1,1
387.545258983,0,42,2,1,1
387.554043693,0,42,2,1,1
387.554083861,0,42,2,1,1
387.555587142,0,42,2,1,1
387.558027429,0,42,2,1,1
387.566559112,0,42,2,1,1
387.57723016,0,42,2,1,1
387.586084244,0,42,2,1,1
387.586186195,0,42,2,1,1
